source_system,plant_code,plant_name,source_country,coal_relevant,has_coordinates,decided_by,pipeline_note,candidate_1_id,candidate_1_name,candidate_1_score,candidate_2_id,candidate_2_name,candidate_2_score,candidate_3_id,candidate_3_name,candidate_3_score,gem_location_id,not_in_gem,decision_note
ENTSOE,,Pątnów 1 B1,Poland,t,t,legacy-pipeline,grandfathered llm match to GPPD 'Pątnów I'; no GEM link — review,L100000103220,Patnow power station,73.7,,,,,,,,f,
ENTSOE,,Pątnów 1 B2,Poland,t,t,legacy-pipeline,grandfathered llm match to GPPD 'Pątnów I'; no GEM link — review,L100000103220,Patnow power station,73.7,,,,,,,,f,
ENTSOE,,Pątnów 1 B3,Poland,t,t,legacy-pipeline,grandfathered llm match to GPPD 'Pątnów I'; no GEM link — review,L100000103220,Patnow power station,73.7,,,,,,,,f,
ENTSOE,,Pątnów 1 B4,Poland,t,t,legacy-pipeline,grandfathered llm match to GPPD 'Pątnów I'; no GEM link — review,L100000103220,Patnow power station,73.7,,,,,,,,f,
ENTSOE,,Pątnów 1 B5,Poland,t,t,legacy-pipeline,grandfathered llm match to GPPD 'Pątnów I'; no GEM link — review,L100000103220,Patnow power station,73.7,,,,,,,,f,
ENTSOE,,Pątnów 1 B6,Poland,t,t,legacy-pipeline,grandfathered llm match to GPPD 'Pątnów I'; no GEM link — review,L100000103220,Patnow power station,73.7,,,,,,,,f,
ENTSOE,,Pątnów 2 B9,Poland,t,t,legacy-pipeline,grandfathered llm match to GPPD 'Pątnów II'; no GEM link — review,L100000103220,Patnow power station,84.2,,,,,,,,f,
ENTSOE,,ROBLA 2,Spain,t,t,legacy-pipeline,grandfathered llm match to GPPD 'LA ROBLA GRUPO 2'; no GEM link — review,L100000400712,San Roque 2 power station,55.6,,,,,,,,f,
ENTSOE,,SOTO RIB 3,Spain,t,t,,,L100000103503,Soto de Ribera power station,75,L100000400657,Besós 3 power station,58.8,,,,,f,
ENTSOE,,Studstrupvaerket 3,Denmark,t,t,,,L100000101816,Studstrup power station,66.7,,,,,,,,f,
ENTSOE,,Studstrupvaerket 4,Denmark,t,t,,,L100000101816,Studstrup power station,66.7,,,,,,,,f,
ENTSOE,,TE Kolubara G5,Serbia,t,t,,,L100000103402,Kolubara A power station,75,L100000103407,Kolubara B power station,75,,,,,f,
ENTSOE,,TE Kostolac A G1,Serbia,t,t,,,L100000103404,Kostolac power station,66.7,,,,,,,,f,
ENTSOE,,TE Kostolac A G2,Serbia,t,t,,,L100000103404,Kostolac power station,66.7,,,,,,,,f,
ENTSOE,,TE Kostolac B G1,Serbia,t,t,,,L100000103404,Kostolac power station,66.7,,,,,,,,f,
ENTSOE,,TE Kostolac B G2,Serbia,t,t,,,L100000103404,Kostolac power station,66.7,,,,,,,,f,
ENTSOE,,TE Kostolac B G3,Serbia,t,t,,,L100000103404,Kostolac power station,66.7,,,,,,,,f,
ENTSOE,,TE Morava G1,Serbia,t,t,,,L100000103406,Morava power station,66.7,,,,,,,,f,
ENTSOE,,TE Šoštanj 5,Slovenia,t,t,,,L100000400641,Sostanj power station,73.7,,,,,,,,f,
ENTSOE,,TE Šoštanj 6,Slovenia,t,t,,,L100000400641,Sostanj power station,73.7,,,,,,,,f,
ENTSOE,,TENT A G1,Serbia,t,t,,,,,,,,,,,,,f,
ENTSOE,,TENT A G2,Serbia,t,t,,,,,,,,,,,,,f,
ENTSOE,,TENT A G3,Serbia,t,t,,,,,,,,,,,,,f,
ENTSOE,,TENT A G4,Serbia,t,t,,,L100000103403,Nikola Tesla power station,58.3,,,,,,,,f,
ENTSOE,,TENT A G5,Serbia,t,t,,,,,,,,,,,,,f,
ENTSOE,,TENT A G6,Serbia,t,t,,,,,,,,,,,,,f,
ENTSOE,,TENT B G1,Serbia,t,t,,,L100000103403,Nikola Tesla power station,58.3,,,,,,,,f,
ENTSOE,,TENT B G2,Serbia,t,t,,,L100000103403,Nikola Tesla power station,58.3,,,,,,,,f,
ENTSOE,,TPP_GALABOVO,Bulgaria,t,t,legacy-pipeline,grandfathered llm match to GPPD 'AES Galabovo'; no GEM link — review,L100000100148,Maritsa Iztok-1 power station,66.7,,,,,,,,f,
ENTSOE,,TPP_GALABOVO_G1,Bulgaria,t,t,legacy-pipeline,grandfathered llm match to GPPD 'AES Galabovo'; no GEM link — review,L100000100148,Maritsa Iztok-1 power station,66.7,,,,,,,,f,
ENTSOE,,TPP_GALABOVO_G2,Bulgaria,t,t,legacy-pipeline,grandfathered llm match to GPPD 'AES Galabovo'; no GEM link — review,L100000100148,Maritsa Iztok-1 power station,66.7,,,,,,,,f,
ENTSOE,,TPP_RUSE,Bulgaria,t,t,legacy-pipeline,grandfathered llm match to GPPD 'TOPLO RUSE'; no GEM link — review,,,,,,,,,,,f,
ENTSOE,,TPP_RUSE_G4,Bulgaria,t,t,legacy-pipeline,grandfathered llm match to GPPD 'TOPLO RUSE'; no GEM link — review,,,,,,,,,,,f,
ENTSOE,,UP_BRNDSSUDCE,Italy,t,t,legacy-pipeline,grandfathered llm match to GPPD 'Brindisi Sud power station'; no GEM link — review,L100000102842,Brindisi Sud power station,64,L100000400411,NuCe Sud power station,57.1,,,,,f,
ENTSOE,,UP_BRNDSSUDCE_1,Italy,t,t,legacy-pipeline,grandfathered llm match to GPPD 'Brindisi Sud I'; no GEM link — review,L100000102842,Brindisi Sud power station,59.3,,,,,,,,f,
ENTSOE,,UP_BRNDSSUDCE_3,Italy,t,t,legacy-pipeline,grandfathered llm match to GPPD 'Brindisi Sud power station'; no GEM link — review,L100000102842,Brindisi Sud power station,59.3,,,,,,,,f,
ENTSOE,,UP_FIUMESANT,Italy,t,t,legacy-pipeline,grandfathered llm match to GPPD 'Fiumesanto'; no GEM link — review,L100000102856,Fiume Santo power station,78.3,,,,,,,,f,
ENTSOE,,UP_FIUMESANT_3,Italy,t,t,legacy-pipeline,grandfathered llm match to GPPD 'Fiumesanto'; no GEM link — review,L100000102856,Fiume Santo power station,72,,,,,,,,f,
ENTSOE,,UP_FIUMESANT_4,Italy,t,t,legacy-pipeline,grandfathered llm match to GPPD 'Fiumesanto'; no GEM link — review,L100000102856,Fiume Santo power station,72,,,,,,,,f,
ENTSOE,,WALSUM,Germany,t,t,,,L100000101883,Walheim power station,61.5,L100000101934,Duisburg-Walsum power station,57.1,,,,,f,
