country,gem_location_id,gem_plant_name,other_names,local_name,state_province,latitude,longitude,operating_mw,retired_mw,units_operating,units_retired,units_other_status,wiki_url
India,L100000102101,Kahalgaon power station (Cement Manufacturing Co.),,,Bihar,25.26354,87.234444,,,0,0,1,https://www.gem.wiki/Kahalgaon_power_station_(Cement_Manufacturing_Co.)
India,L100000102102,Kahalgaon power station (East-West Power),,,Bihar,25.26354,87.234444,,,0,0,1,https://www.gem.wiki/Kahalgaon_power_station_(East-West_Power)
India,L100000102103,Kahalgaon power station (Sarvottam),,,Bihar,25.26354,87.234444,,,0,0,1,https://www.gem.wiki/Kahalgaon_power_station_(Sarvottam)
India,L100000102212,Kaj/Nanavada power station,,,Gujarat,20.75,70.8167,,,0,0,2,https://www.gem.wiki/Kaj/Nanavada_power_station
India,L100001000079,Kajurda power station,,,Gujarat,22.309056,69.707062,,,0,0,2,https://www.gem.wiki/Kajurda_power_station
India,L100000102595,Kakatiya Thermal Power Project,,,Telangana,18.3831934,79.8271644,1100,,2,0,0,https://www.gem.wiki/Kakatiya_Thermal_Power_Project
India,L100000102474,Kalinganagar Maithan power station,,,Odisha,20.922672,86.042365,30,,1,0,0,https://www.gem.wiki/Kalinganagar_Maithan_power_station
India,L100000102527,Kalisindh Thermal Power Station,,,Rajasthan,24.5325129,76.100353,1200,,2,0,4,https://www.gem.wiki/Kalisindh_Thermal_Power_Station
India,L100000102475,Kamakhyanagar power station,,,Odisha,20.837,85.520555,,,0,0,3,https://www.gem.wiki/Kamakhyanagar_power_station
India,L100000102476,Kamalanga power station,,,Odisha,20.870576,85.266979,1050,,3,0,1,https://www.gem.wiki/Kamalanga_power_station
India,L100000102270,Kamdara power station,,,Jharkhand,22.919791,84.951289,,,0,0,2,https://www.gem.wiki/Kamdara_power_station
India,L100000102269,Kamdara power station (Jindal),,,Jharkhand,22.919791,84.951289,,,0,0,4,https://www.gem.wiki/Kamdara_power_station_(Jindal)
India,L100000102507,Karaikal Port power station,,,Puducherry,10.906007,79.848676,,,0,0,3,https://www.gem.wiki/Karaikal_Port_power_station
India,L100000102555,Karapidagai North power station,,,Tamil Nadu,10.590833,79.800278,,,0,0,1,https://www.gem.wiki/Karapidagai_North_power_station
India,L100000102633,Karchana Thermal Power Project,,,Uttar Pradesh,25.190556,82.019722,,,0,0,2,https://www.gem.wiki/Karchana_Thermal_Power_Project
India,L100000102634,Karchana Ultra Mega Power Project,,,Uttar Pradesh,25.28,81.93,,,0,0,1,https://www.gem.wiki/Karchana_Ultra_Mega_Power_Project
